,tweet,existence,existence.confidence
4745,lord public lose confid climat chang scienc lead scientist hous lord warn oohja,Yes,0.4944
4858,palin liken global warm studi snake environ,Neutral,0.6685
2702,global warm scientist under investig satelec,Neutral,0.6729
3056,global warm,Neutral,0.7067
2195,goldman salli freddi global govern warm capston,Neutral,0.6613
871,address global warm skeptic climat,Neutral,0.4027
566,health remind global warm debat nearli scientist politician agre,Yes,0.6172
1781,blankenship call effort safeti regul silli global warm labor union,No,1.0
4032,twitpic terra record storm washington global warm,No,1.0
5160,legislatur global warm proven resolut question global oohja,Neutral,0.6928
2496,check podcast martel burtynski climat chang cbmzi,Neutral,0.6666
5446,actress orianka kilcher climat chang activ public figur celebr retwt,Neutral,0.6254
2546,studi cool greenland year global warm climat changehttp eapcp,Yes,0.5277
5631,whale could fight climat chang tinyurl teaparti,No,0.6659999999999999
5982,nowplay send smoke signal volcano global warm glenn algor msnbc jimmi carter,No,0.6629999999999999
336,solv global warm thing,Yes,1.0
1412,allergi jonah goldberg blame global warm magazin allergi wors blame,Yes,1.0
3695,histor storm washington third explain snow heavili global warm immin,No,1.0
73,third american believ global warm human caus elli april,Neutral,0.7308
2748,vancouv winter olymp pinch climat chang humanitarian retwt,Yes,1.0
4313,whaddayal think feder offic climat chang cifsar,Neutral,0.6432
2801,global warm video youtub watch emhuzaq,Neutral,0.6694
4629,reform intergovernment panel climat chang ctvuih,Yes,0.7473
3195,idea global warm event tomorrow,No,0.6866
3370,brain freez conserv media still use winter weather attack global warm nkecc noisemachin climat,Yes,0.6969
439,report claim climat chang blame increas allergi,Yes,0.8026
3409,clearli snowmageddon disprov global warm go snow cri uncl,No,1.0
462,fight climat chang front,Yes,0.6167
3309,need happen global warm make blizzard wors drudg oxilz,Yes,1.0
3003,about omniclim unbear naked climat chang retwt,Neutral,0.7059
4896,fact about global warm today,Yes,0.6467
5651,support environment movement gallup global warm exagger earthlingangst blogspot globalwarm,Yes,0.4403
82,sharifkoudd indigen group across bolivia arriv world peopl confer climat chang,Neutral,0.7452
3429,climat chang portal could birth entir industri,Yes,1.0
5691,discredit global warm alarmist,No,0.6503
2051,cuccinelli file motion forc reopen global warm find virginia attorney gener cuccinelli,Yes,0.5495
4348,global warm make tree faster,Yes,1.0
5235,watch joseph interview global warm vodpod,No,1.0
4989,obama blame blizzard washington fail polici global warm,Neutral,0.6641
5457,state declar global warm unequivoc primarili human induc american trust washington,No,0.6895
4713,anyon poster global warm,No,0.6731
2821,accept climat chang retwt,Neutral,1.0
4070,bluf there overwhelm consensu among climat scientist basic global warm narr,Yes,1.0
3100,devot articl baseless global warm attack bash argdyw noisemachin climat,No,0.5326
3577,where global warm rebecca terrel newamerican rpsiz,No,1.0
570,major leagu basebal team throw curv climat chang denier cleantechnica,Neutral,1.0
739,legisl steamrol kathryn lopez april bloomberg immigr climat chang legisl,Neutral,0.8059999999999999
4953,latest climat chang blunder boldli where stupid befor tinyurl climateg nobama,No,1.0
5139,africa africa global warm group call africa group whose spoke person ethiopian tinyurl africa,Yes,1.0
5487,doubt climat chang humanitarian retwt,Yes,1.0
823,iceland volcano chang climat while volcano caus chang earth climat recent eruptio,Neutral,0.6136
5500,cochabamba summit offer approach combat climat chang speakeasi retwt,Neutral,0.6829
3151,these peopl storm climat chang climat chang serious idiot,Yes,0.6736
5736,freakonom climateg victim state global warm problem,No,0.6769
341,preliminari analysi suggest natur could contribut global warm previous,Yes,1.0
3351,close mess freedom thank global warm,Yes,0.7523
3853,climat chang blast greenpeac,No,0.6566
4611,replac wikipedia issu edict climat chang exactli aiaza,Neutral,1.0
250,background china major polici tackl climat chang sinc,Yes,0.5833
2457,solut environment problem larger stori climat chang ecoeconom,Yes,1.0
4326,grow pentagon focu energi climat chang recent quadrenni defens review aokbh,Neutral,0.6578
1201,climat chang make farmer pastoralist ethiopia increasingli vulner alhpwn earthday,Yes,0.6647
3128,climat chang theori never predict winter would climat,Yes,0.6749
5746,rupert murdoch fact straight climat chang biuhb foxnew globalwarm saveterra,Yes,0.6678
4472,global warm globalwarm,Neutral,0.6531
1194,african meteorolog servic climat chang america,Yes,0.7066
75,climat suggest global warm assumpt,Neutral,0.5556
3809,make funni global warm,Yes,1.0
2377,climat anthropogen global warm religion climat chang,No,0.4146
1743,graham kibosh climat industri friendli senat global warm legislatio bgsom,Neutral,0.6665
4846,start random fire place speed global warm carbon footprint banana,No,0.6509999999999999
1030,dollar sens climat chang,Neutral,1.0
5780,confer ridg environment center focus climat chang mass representativ,Yes,0.6801
3719,say climat chang possibl unalt model level higher,Yes,0.4701
3298,sadli chuck norri might blizzard climat chang conspiraci,Yes,0.6536
4523,instapundit archiv twelv inch global warm twelv inch global warm sound,Neutral,1.0
194,african meteorolog servic climat chang america,Yes,0.5944
4260,climb global warm myth take everyday,No,0.7124
4891,water climat chang impact reuter articl iduktr,Yes,0.6522
4412,olymp organ desper climat chang ddynn,Neutral,0.6654
1291,wonder impact volcano iceland climat chang dlvknq,Yes,0.6769
1797,maria rodal climat chang exist matter amaz realli differ view cwrrvb,Neutral,1.0
2278,whitney climat chang climat chang skeptic sing victori,No,1.0
897,list call global warm fraud douchebag dilusion,Neutral,0.5133
2441,london temperament chang actual famou global warm nearli fuel,No,0.6644
5312,global warm profit obama energi offici,No,0.6885
2994,climat chang faith simon hoggart guardian guardian retwt,Neutral,1.0
1621,green cement tackl global warm biqjnb,Yes,0.6773
1912,religi climat chang slojr,Yes,0.6312
4441,global warm theori,No,0.7538
6051,weathercast divid global warm suzann bohan weather forecast spencer christian meteo aoxwc,Neutral,1.0
511,soar mercuri blame global warm agartala environmentalist attribut,Yes,0.8009999999999999
4803,mayb want peabrain chief global warm offic,Neutral,0.6455
5804,environment monitor nation instrument increas focu effect climat chang,Yes,0.6651
2474,keeper logbook light climat chang lighthous keeper logbook studi clue oohja xakzo,Yes,1.0
5717,maria rodal nurseri plant earli april global warm given cxplnj,Yes,1.0
3229,anoth blizzard happen global warm pjkit,No,1.0
1975,climat give pollut nuclear break washington reuter climat chang expect,Neutral,0.6920000000000001
846,gather whiten teeth scream climat chang clinic trial collagen cliniqu,Neutral,1.0
1134,report whale global warm tinyurl,Yes,1.0
324,professor perspect reason concern climat chang spring connecticut bring renew,Yes,1.0
1301,climat chang denier bobbi jindal mock volcano warn paper late start think,Yes,1.0
3154,short snowmageddon snow obama global warm activist pysgf opendc,Neutral,0.6765
5289,examin climat chang nation secur drvgvf,Neutral,1.0
423,earthday global warm could affect patient symptom,Yes,1.0
1537,militari lead fight climat chang washington reuter militari govern larg,Yes,0.7072
3964,young peopl today climat chang greater threat terror,Neutral,0.6506
1595,iceland volcano unlik global warm scientist pari volcan erupt cool fkhqu,Yes,1.0
5637,global warm petit project youtub youtu,Neutral,0.6459999999999999
3876,ignor previou claim expert redstat attack cite climat chang nation secur threat,Neutral,0.4405
727,scenario challeng california climat chang sourc reuter peter henderson francisco april,Neutral,0.7917
5365,professor steven cohen write weather climat chang cunzkl,Yes,0.7076
242,uruguay tool need those vulner climat chang,Yes,0.8133
4015,obama climat chang agenc dbqhvr,Neutral,1.0
1589,preliminari analysi suggest natur could contribut global warm previous thought rrgsg,Yes,0.8929
142,april phoenix weather might today hmmmm global warm,Yes,0.7863
4709,govern launch climat chang agenc want level cnepv,Neutral,0.6935
977,awesom hold climat chang confer cancun,Neutral,1.0
4194,brilliant vagina monologu creator tell palin earthquak tsunami global warm proof,Yes,1.0
5775,gile slade mccarthyism climat chang strang sarah palin thought africa countr,Yes,1.0
5653,support environment movement gallup global warm exagger earthlingangst blogspot globalwarm,Neutral,1.0
3311,global warm ground march,No,1.0
2244,watch tudor global warm henri monarchi thing,Neutral,0.6845
5441,global warm fairi tinyurl krwusz,No,0.6981
1906,birther global warm denier young earth creationist armstrong complain obama budget,Neutral,0.6614
2995,youtub climat chang sceptic australia christoph monckton retwt,No,0.6804
898,global warm daili green,Neutral,1.0
192,rebecca solnit degre insepar about about climat chang,Yes,0.6458
3554,lobbyist block action climat chang,Yes,0.6843
4351,versu abbott climat chang differ crikey retwt green climat,Neutral,1.0
628,climat chang build green economi krugman nytim,Yes,0.5683
4132,power instal call estonian artist kaselaan climat chang denier,Neutral,0.6327
4578,obama battl global warm biofuel initi track dailytech partisan atmospher presi ccebki,Yes,0.4934
845,geoengin chang climat convers,Neutral,1.0
1628,climat chang build green economi krugman nytim greentech,Yes,0.6909
3954,global warm make blizzard wors drudg oxilz,Yes,1.0
2348,fix global warm china energi secretari steven want chang peopl think,Neutral,0.6774
5304,climat resolv chang initi develop tangibl sustain solut elzqb,Yes,0.7009
1154,troubl global warm agricultur industri theclimatedesk articl grape wrath,Yes,1.0
3689,global warm wors go blower,Yes,0.6565
2982,centreright follow lose climat chang debat retwt,No,1.0
1727,scenario challeng california climat chang sourc reuter peter henderson francisco april,Yes,0.4805
438,automot laud innov technolog effort combat climat chang pollut,Yes,1.0
4215,brain freez conserv media still use winter weather attack global warm nkecc noisemachin climat,Yes,0.4802
2333,global warm alarmist discredit rhetor earth bbupvl,No,1.0
3645,rather amus climat chang denier wryli refer global warm closer think,Yes,1.0
4546,correl mechanist model speci distribut provid congruent forecast climat chang,Yes,0.6466
3272,media matter still use scienc report global warm,No,1.0
1531,excel environment econom limit climat chang polici option climat,Yes,1.0
3928,believ peopl think excess make global warm realiti book,Yes,1.0
4477,think given scale implic climat chang peopl plausibl deniabl instead nut,Yes,1.0
4604,number fals coast buri reason push global warm control money,No,1.0
1828,lover system review scream climat chang clinic trial collagen cliniqu,Neutral,1.0
1038,commonsens wonder global warm need,Neutral,0.7031
5730,rupert murdoch fact straight climat chang biuhb foxnew globalwarm saveterra,No,0.6405
1672,liber looney toon global warm alarmist come artic frost gather learn naect,No,0.6334
6088,golfer global warm twenti forti golfer make akeaxp,No,1.0
1478,allgov global warm frozen reach canada warmer temperatur,Yes,0.6928
3875,today tomorrow call anoth blizzard global warm,No,0.6773
266,migratori bird climat chang strategi,Yes,0.7887
769,alexia park global warm heart earth thousand perhap million consc,Neutral,0.7907
3504,head clarendon global warm shirt laugh shank snowpocalyps,Yes,0.6566
3891,presid climat chang world wildlif seek presid climat chang provid,Yes,0.6585
982,climat suggest global warm assumpt,Neutral,0.5804
819,peopl world referendum climat chang,Neutral,1.0
2563,fart exoner global warm ddshde sigh relief rectum,No,0.6648
2312,artist scientist discuss climat chang today center organ earthday,Neutral,0.6478
2080,furnitur keep scream climat chang clinic trial collagen cliniqu ckrizv,Neutral,0.7117
6086,virginia investig global warm scientist adlavg,Neutral,1.0
5907,unforseen consequ global warm number satir view interest bizarr btjzqh,Yes,0.691
639,spill tragedi energi coast spill better climat chang legisl momentum,Yes,0.6186
1829,watchdog back climat chang advert clever televis advert claim pollut worst oohja,Yes,0.6876
2217,decis elect climat chang youth climat,Neutral,0.8212
162,global warm kill california kimberley cahil present climat chang califor,Yes,1.0
63,press releas april climat chang negoti agre intensifi,Neutral,0.8557
5428,import event struggl against climat chang nigerian retwt,Yes,0.6819
543,bolivian presid blame capit global warm environ servic cochabamba bolivia april,Yes,0.8119
1401,action protect wildlif habitat climat chang ogdyi climatechang sierraclub saveterra,Yes,1.0
1901,volcano global warm stori tinyurl yycupu,Yes,1.0
2565,toler climat chang guilti crime peac affkez,Yes,1.0
3341,climat chang acidif threaten type coral bxftxz,Yes,1.0
1468,arctic acceler global warm research topnew zealand global warm get wors,Yes,1.0
5719,glacier trigger tsunami caus wors global warm coast,Yes,1.0
2059,climat worsen debat global warm univers anglia climat resear dxxogu,Neutral,0.7019
1010,solar activ climat chang,Neutral,0.8199
5478,matter believ global warm better money resourc,Neutral,1.0
4722,global warm make blizzard wors anyon scintilla respect leftist magazin,Yes,1.0
4489,earth polar sheet vulner moder global warm orlean southern,Yes,1.0
910,religi climat chang,Neutral,1.0
2250,church climat chang yuval levin presid creat faith base offic white,Neutral,1.0
885,trigger number onlin roulett scream climat chang clinic trial collagen cliniqu,Neutral,1.0
4139,moonbatteri global warm crisi strike cambridg massachusett scare redux pictur worth,Yes,0.6446
3336,extrem weather predict global warm model year,Yes,1.0
574,report increas sediment upper atmosph could reduc global warm effect reduc,Yes,0.7885
2861,director energi climat chang browner think tremend opportun natga,Yes,1.0
5898,seek avoid failur climat chang redact ahora redaccion tuesday april,Yes,0.47700000000000004
3959,snowpocalyps realli subpar final believ global warm,Yes,0.6987
501,conserv intern help prevent climat chang provid habitat endang speci,Yes,0.7987
5670,green climat chang denier,Neutral,0.6822
3334,bet climat chang corpor stand billion planet realli warm oohja xbbea,Neutral,0.7665
5036,understand snow part brooklyn touch global warm,No,0.6726
2840,global warm swindl think channel great global warm swindl,No,0.7096
3172,think understand climat chang caus sell peopl call global warm,No,0.6391
5816,whale fight global warm proof global warm problem,Yes,0.6206
2925,there altern energi resourc prevent global warm affect increas impact planet neg,Yes,1.0
2868,disclos risk climat chang driessen townhal climat realist retwt,Yes,0.635
3448,climat chang world fragrant warm temperatur plant releas chem,Yes,1.0
2657,reuter senat prepar compromis climat chang,Neutral,0.5209
1356,kenya extrem weather test pastoralist percept effect climat chang drought tinyurl yyupfmh africa,Yes,0.6598
4922,obama administr form climat servic agenc studi report global warm wast obama,No,0.6838
4235,blizzard snarl climat chang educ easyuri,Neutral,0.7793
3236,storm fuel conserv global warm mockeri,Yes,0.6616
4438,scientif consensu global warm alarmist melt himalayan glacier journalist tweet,Yes,0.6615
2169,make climat chang,Yes,1.0
3208,global warm massiv blizzard cgqgiv,Yes,1.0
5242,separ power climat chang action promis state union,Neutral,0.6966
2109,intern climat chang liabil whet transnat appetit mother jone dfquax,Neutral,0.6235
623,world famou place endang global warm climatologist predict global warm right,Yes,0.8123
1821,could bodi togeth start global warm,Yes,0.6472
2006,sway distract climat chang treat earth respons earthday,Neutral,0.6458
1450,exclus climat chang could rais allergi,Yes,1.0
5145,target barrasso climat stand global warm,Yes,0.6462
5840,today point arizona immigr threaten upend tripartisan climat chang legisl,Yes,0.6635
6077,bird lizard fight climat chang bird lizard import earth,Yes,1.0
3368,brain freez conserv media still use winter weather attack global warm nkecc,No,0.649
188,climat chang rebecca solnit,Neutral,0.611
1530,launch climat chang supercomput huffingtonpost launch climat,Yes,0.511
1548,carbon offset vatican forest fail reduc global warm christian scienc monitor scheme adexi,Yes,0.6856
5806,column consid natur caus climat chang unit nation intergovernment panel climat chang,Yes,0.679
1280,right richard branson earthday messag hous order fight global warm green,Yes,1.0
2922,water climat chang impact expert reuter humanitarian retwt,Yes,1.0
4044,imagin global warm read televis,Neutral,0.6528
5726,rupert murdoch fact straight climat chang biuhb foxnew globalwarm saveterra,Yes,0.6920000000000001
663,fart exoner global warm,Neutral,0.5988
1212,treat climat chang curabl diseas bioethicist intern expert asilomar later,Yes,1.0
4783,freak storm consist global warm scientist telegraph bddtsb,Yes,1.0
2035,recycl water global warm peanut grape,Yes,1.0
1127,global warm kill forest colorado coowit,Yes,1.0
157,climat chang chang elector nation ocean atmospher administr known,Neutral,0.6395
1493,whale fight global warm mayeda preuitt voyag convinc,Neutral,0.7791
1747,graham talk climat chang limbo tinyurl,Yes,0.6445
3638,exactli global warm schmorm,No,0.6706
799,media discours climat chang focu polit subject engag,Neutral,0.7991
2890,scientist develop crop endur climat chang manila bulletin retwt,Yes,0.6404
3753,global warm slick buster,No,0.6597
5779,govern climat chang claim global warm caus befor begin promis stori ykbgc,Yes,0.6417
1047,counti disput global warm laura london staff writer otero counti commiss involv discussi,Neutral,0.625
